epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23009,0.73365,2.99197,0.99917,0.01261,0.97084,0.45958,0.37788,0.58262,2.71772,0.84088,0.00021435,0.00021435,0.00021435
2,3.94977,0.74305,1.504,0.98605,0.97554,0.41037,0.77495,0.643,0.60414,2.30737,0.85431,0.000441528,0.000441528,0.000441528
3,5.67078,0.69881,1.11385,0.95551,0.89947,0.57408,0.82622,0.6727,0.68163,2.02185,0.88405,0.000667197,0.000667197,0.000667197
4,7.37782,0.75489,1.03992,0.98784,0.86064,0.55415,0.76431,0.62238,0.7158,2.02376,0.93005,0.000891357,0.000891357,0.000891357
5,9.06431,0.75602,1.0495,0.99718,0.81829,0.64705,0.76861,0.63103,0.69122,1.82919,0.94778,0.00111401,0.00111401,0.00111401
6,10.7682,0.75883,1.03317,1.00311,0.89237,0.80313,0.89477,0.73933,0.66208,1.31669,0.91896,0.00133515,0.00133515,0.00133515
7,12.4856,0.73049,0.9585,1.00684,0.80063,0.80633,0.85966,0.70792,0.67574,1.23827,0.90178,0.00140071,0.00140071,0.00140071
8,14.1909,0.69466,0.92556,0.97996,0.78336,0.75455,0.83113,0.68894,0.6471,1.14954,0.90916,0.00139599,0.00139599,0.00139599
9,15.8915,0.70972,0.88583,1.00043,0.85775,0.86975,0.88029,0.71318,0.6887,1.02762,0.96168,0.00139127,0.00139127,0.00139127
10,17.5819,0.67067,0.86597,0.98111,0.90152,0.88975,0.93462,0.79161,0.61167,0.77297,0.94432,0.00138656,0.00138656,0.00138656
11,19.2804,0.69086,0.89349,0.98009,0.9206,0.92945,0.95974,0.80172,0.6508,0.67264,0.94084,0.00138184,0.00138184,0.00138184
12,20.9928,0.70751,0.85979,1.00115,0.94553,0.94343,0.96619,0.82173,0.59326,0.67161,0.8962,0.00137713,0.00137713,0.00137713
13,22.7001,0.66525,0.77231,0.96363,0.88038,0.90376,0.93727,0.80034,0.58314,0.80063,0.89266,0.00137241,0.00137241,0.00137241
14,24.3999,0.65035,0.76423,0.95671,0.93751,0.93046,0.96503,0.84136,0.57653,0.60537,0.90699,0.0013677,0.0013677,0.0013677
15,26.1095,0.65772,0.70607,0.9574,0.9178,0.94654,0.96504,0.84021,0.57621,0.59026,0.90593,0.00136298,0.00136298,0.00136298
16,27.7983,0.69932,0.74473,0.9743,0.92343,0.91387,0.95576,0.83246,0.57287,0.62511,0.89718,0.00135826,0.00135826,0.00135826
17,29.4953,0.6491,0.68801,0.96603,0.91126,0.89751,0.94773,0.81468,0.58152,0.70255,0.89422,0.00135355,0.00135355,0.00135355
18,31.1972,0.6394,0.68192,0.94565,0.91681,0.93421,0.95459,0.81881,0.59295,0.63389,0.90958,0.00134883,0.00134883,0.00134883
19,32.8852,0.63629,0.69739,0.95381,0.91244,0.87063,0.93011,0.79881,0.59892,0.75912,0.91277,0.00134412,0.00134412,0.00134412
