epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83865,0.76548,1.79606,1.09052,0.31615,0.63671,0.39729,0.33165,0.62365,6.3345,0.98411,0.00032867,0.00032867,0.00032867
2,19.3082,0.729,0.84758,1.03723,0.34851,0.46191,0.30104,0.21523,1.0412,9.24268,1.42074,0.000664981,0.000664981,0.000664981
3,28.831,0.7762,0.85072,1.06203,0.407,0.39812,0.35952,0.25314,1.45834,5.97334,1.60744,0.000994501,0.000994501,0.000994501
4,38.3196,0.84379,0.80981,1.10398,0.4704,0.49871,0.30502,0.22451,1.00521,6.06828,1.40126,0.00131723,0.00131723,0.00131723
5,47.6969,0.83795,0.73227,1.10128,0.50576,0.41211,0.40806,0.31,1.26701,2.31349,1.90686,0.00137241,0.00137241,0.00137241
6,57.0845,0.82373,0.7893,1.10302,0.65964,0.44294,0.51433,0.39263,1.3575,5.1814,1.67504,0.00135826,0.00135826,0.00135826
7,66.5413,0.79395,0.6855,1.09102,0.81062,0.79572,0.84777,0.65791,0.85828,1.22025,1.19056,0.00134412,0.00134412,0.00134412
8,75.9973,0.8046,0.6435,1.09063,0.78012,0.73761,0.76645,0.6063,0.83855,1.55703,1.22493,0.00132997,0.00132997,0.00132997
9,85.3444,0.8043,0.65371,1.09628,0.88686,0.8673,0.9392,0.76842,0.74536,0.83744,1.15657,0.00131582,0.00131582,0.00131582
10,95.2525,0.75217,0.56312,1.05903,0.89149,0.85133,0.9321,0.74787,0.81334,0.79346,1.22682,0.00130168,0.00130168,0.00130168
11,104.685,0.74902,0.56797,1.04491,0.77336,0.5716,0.68245,0.56635,0.769,1.65994,1.16615,0.00128753,0.00128753,0.00128753
12,114.1,0.75569,0.5936,1.06209,0.91385,0.88283,0.94731,0.7962,0.60923,0.60118,1.02773,0.00127338,0.00127338,0.00127338
13,123.609,0.71169,0.54738,1.03461,0.94965,0.92188,0.9616,0.81952,0.59712,0.60061,1.01753,0.00125923,0.00125923,0.00125923
14,133.052,0.71839,0.53176,1.03664,0.90435,0.91812,0.9642,0.80905,0.66791,0.50552,1.08578,0.00124509,0.00124509,0.00124509
15,142.483,0.73722,0.54284,1.05492,0.89855,0.89517,0.95578,0.80105,0.61034,0.57505,1.02664,0.00123094,0.00123094,0.00123094
16,151.834,0.72813,0.53011,1.04096,0.92473,0.93487,0.96483,0.82666,0.56248,0.51498,0.99349,0.00121679,0.00121679,0.00121679
17,161.313,0.71223,0.51906,1.02962,0.91894,0.88998,0.93565,0.80073,0.57535,0.59851,1.00914,0.00120265,0.00120265,0.00120265
18,170.715,0.69331,0.52226,1.02659,0.93902,0.88641,0.94957,0.82194,0.55639,0.55613,0.98299,0.0011885,0.0011885,0.0011885
19,180.498,0.68485,0.53181,1.03727,0.94335,0.87763,0.96403,0.81598,0.56691,0.53721,0.98746,0.00117435,0.00117435,0.00117435
20,189.915,0.68114,0.53339,1.0327,0.95932,0.93536,0.97489,0.83233,0.56515,0.47937,0.99287,0.00116021,0.00116021,0.00116021
21,199.372,0.6936,0.49864,1.02341,0.92885,0.9413,0.9699,0.8273,0.56099,0.44995,0.98905,0.00114606,0.00114606,0.00114606
22,208.728,0.67293,0.48766,1.02797,0.8967,0.91798,0.95731,0.81213,0.57588,0.52274,1.01237,0.00113191,0.00113191,0.00113191
23,218.164,0.67893,0.48294,1.02736,0.95902,0.92757,0.97676,0.83171,0.56425,0.41191,0.99301,0.00111776,0.00111776,0.00111776
24,227.528,0.66911,0.48503,1.02451,0.95395,0.95308,0.9751,0.83714,0.54707,0.39965,0.97887,0.00110362,0.00110362,0.00110362
25,236.995,0.67789,0.47807,1.01939,0.94124,0.91825,0.96625,0.84104,0.54542,0.41399,0.995,0.00108947,0.00108947,0.00108947
26,246.438,0.67716,0.45508,1.00486,0.92441,0.95116,0.97455,0.84876,0.54312,0.41582,0.98844,0.00107532,0.00107532,0.00107532
27,255.882,0.68608,0.4704,1.02329,0.9309,0.94709,0.97503,0.8472,0.55127,0.44135,0.97896,0.00106118,0.00106118,0.00106118
28,265.566,0.6689,0.46936,1.03251,0.90836,0.96647,0.97437,0.843,0.55881,0.44361,0.98605,0.00104703,0.00104703,0.00104703
29,274.99,0.6612,0.45649,1.00637,0.94719,0.94049,0.97613,0.84907,0.52961,0.42815,0.96907,0.00103288,0.00103288,0.00103288
30,284.428,0.65082,0.46253,1.01689,0.94102,0.96041,0.98071,0.85877,0.52997,0.40519,0.96391,0.00101873,0.00101873,0.00101873
31,293.939,0.6434,0.45051,1.00869,0.94982,0.92112,0.97044,0.84215,0.5325,0.41977,0.96707,0.00100459,0.00100459,0.00100459
32,303.369,0.60364,0.41813,0.96892,0.93972,0.93573,0.97718,0.83923,0.51713,0.42005,0.97088,0.00099044,0.00099044,0.00099044
33,312.718,0.62102,0.42987,0.98959,0.92086,0.96071,0.97978,0.84742,0.55044,0.39843,0.96583,0.000976293,0.000976293,0.000976293
34,322.062,0.65703,0.4591,1.02551,0.9337,0.96047,0.98053,0.86496,0.51716,0.38188,0.96122,0.000962146,0.000962146,0.000962146
35,331.526,0.62878,0.42616,0.99006,0.93805,0.9642,0.97731,0.85087,0.53946,0.39096,0.97623,0.000947999,0.000947999,0.000947999
36,340.873,0.61169,0.41019,0.98547,0.93631,0.95607,0.9782,0.85617,0.5322,0.39781,0.98017,0.000933851,0.000933851,0.000933851
37,350.573,0.61205,0.42824,0.99451,0.95185,0.93698,0.97604,0.86355,0.51693,0.4143,0.97852,0.000919704,0.000919704,0.000919704
38,359.996,0.6082,0.41519,0.99288,0.94287,0.96609,0.98238,0.87163,0.49741,0.33375,0.95796,0.000905557,0.000905557,0.000905557
39,369.496,0.5913,0.40831,0.97318,0.95299,0.96193,0.98266,0.8703,0.48801,0.36003,0.95259,0.00089141,0.00089141,0.00089141
40,378.843,0.59984,0.41975,1.00053,0.94477,0.95617,0.97478,0.86278,0.52024,0.35936,0.98328,0.000877263,0.000877263,0.000877263
41,388.272,0.60051,0.42063,0.98613,0.94805,0.95425,0.97517,0.86183,0.51431,0.35788,0.97844,0.000863116,0.000863116,0.000863116
42,397.689,0.61388,0.40402,0.99259,0.95194,0.96009,0.97966,0.86785,0.48193,0.34251,0.9532,0.000848969,0.000848969,0.000848969
43,407.041,0.59062,0.38581,0.96798,0.92756,0.97429,0.98008,0.86666,0.51197,0.34312,0.96018,0.000834822,0.000834822,0.000834822
44,416.395,0.60006,0.40852,0.99802,0.94861,0.96144,0.98467,0.87686,0.51658,0.34415,0.96678,0.000820675,0.000820675,0.000820675
45,425.907,0.5968,0.38069,0.97412,0.94772,0.96208,0.97997,0.86643,0.5425,0.34363,1.0054,0.000806528,0.000806528,0.000806528
46,435.59,0.59284,0.37658,0.97377,0.9503,0.95276,0.98531,0.86329,0.51484,0.34038,0.97814,0.00079238,0.00079238,0.00079238
47,444.956,0.61863,0.38773,0.98385,0.94301,0.96335,0.98469,0.88356,0.5042,0.33492,0.96466,0.000778233,0.000778233,0.000778233
48,454.401,0.58814,0.38777,0.96263,0.95666,0.95565,0.98436,0.88708,0.48644,0.33381,0.94734,0.000764086,0.000764086,0.000764086
49,463.846,0.57093,0.36911,0.96473,0.95213,0.95313,0.98107,0.87713,0.48748,0.36214,0.94964,0.000749939,0.000749939,0.000749939
50,473.246,0.55615,0.36758,0.97147,0.94989,0.97719,0.9862,0.87398,0.50717,0.32468,0.95312,0.000735792,0.000735792,0.000735792
51,482.606,0.57131,0.37268,0.97654,0.93412,0.96508,0.98386,0.87356,0.48217,0.32544,0.94278,0.000721645,0.000721645,0.000721645
52,491.965,0.58018,0.36506,0.96206,0.94338,0.96685,0.98097,0.86609,0.53618,0.37057,0.98295,0.000707498,0.000707498,0.000707498
53,501.31,0.55085,0.3524,0.96804,0.94345,0.96846,0.98459,0.88258,0.46529,0.32287,0.93191,0.000693351,0.000693351,0.000693351
54,510.663,0.56169,0.36773,0.97605,0.95403,0.97253,0.98361,0.88041,0.4697,0.32058,0.92437,0.000679204,0.000679204,0.000679204
55,520.416,0.58437,0.38198,0.97364,0.94768,0.96864,0.9771,0.86101,0.49693,0.33686,0.94371,0.000665057,0.000665057,0.000665057
56,529.843,0.57642,0.35021,0.97077,0.95714,0.96045,0.97918,0.87692,0.46893,0.34285,0.93075,0.000650909,0.000650909,0.000650909
57,539.265,0.55622,0.35359,0.95905,0.95159,0.95748,0.98253,0.88254,0.47754,0.33383,0.93506,0.000636762,0.000636762,0.000636762
58,548.61,0.56363,0.34607,0.96823,0.95001,0.96154,0.97852,0.88145,0.46764,0.32694,0.93975,0.000622615,0.000622615,0.000622615
59,557.956,0.54381,0.33774,0.96908,0.95397,0.95539,0.97869,0.87756,0.48667,0.32814,0.94735,0.000608468,0.000608468,0.000608468
60,567.309,0.53247,0.33346,0.94214,0.96041,0.95527,0.97976,0.87805,0.49669,0.33287,0.95882,0.000594321,0.000594321,0.000594321
61,576.653,0.52434,0.34339,0.94763,0.95427,0.9476,0.97886,0.8812,0.49322,0.38499,0.9507,0.000580174,0.000580174,0.000580174
62,585.989,0.52898,0.32935,0.94584,0.94872,0.9667,0.98021,0.88337,0.46886,0.34169,0.93549,0.000566027,0.000566027,0.000566027
63,595.339,0.54451,0.35184,0.96491,0.95757,0.95242,0.98157,0.88444,0.4632,0.31545,0.93085,0.00055188,0.00055188,0.00055188
64,605.099,0.54998,0.34087,0.95711,0.95375,0.9665,0.9833,0.88165,0.45108,0.30541,0.92084,0.000537733,0.000537733,0.000537733
65,614.509,0.54329,0.3398,0.95459,0.9657,0.95555,0.98059,0.87928,0.46003,0.34142,0.92991,0.000523586,0.000523586,0.000523586
66,623.931,0.52658,0.33176,0.95723,0.94876,0.98204,0.98174,0.88065,0.44955,0.2826,0.92034,0.000509438,0.000509438,0.000509438
67,633.342,0.52546,0.32654,0.96617,0.96205,0.96954,0.98129,0.88454,0.44971,0.29002,0.92429,0.000495291,0.000495291,0.000495291
68,642.759,0.52295,0.32697,0.94178,0.96359,0.96615,0.98311,0.88952,0.45795,0.31415,0.92594,0.000481144,0.000481144,0.000481144
69,652.209,0.52858,0.33696,0.9569,0.95144,0.97207,0.98333,0.89416,0.4431,0.30421,0.91861,0.000466997,0.000466997,0.000466997
70,661.672,0.54444,0.32864,0.95876,0.95641,0.96317,0.98314,0.88298,0.44673,0.30674,0.92235,0.00045285,0.00045285,0.00045285
71,671.082,0.50842,0.31621,0.94371,0.94039,0.97379,0.98046,0.88792,0.44267,0.31051,0.92583,0.000438703,0.000438703,0.000438703
72,680.427,0.53379,0.32057,0.96346,0.9465,0.95767,0.97977,0.88326,0.43716,0.3206,0.92445,0.000424556,0.000424556,0.000424556
73,690.177,0.50566,0.32212,0.94532,0.95573,0.96884,0.98084,0.89177,0.42851,0.33166,0.9181,0.000410409,0.000410409,0.000410409
74,699.599,0.50314,0.31275,0.93496,0.95612,0.97148,0.98144,0.90062,0.42519,0.31309,0.91184,0.000396262,0.000396262,0.000396262
75,709.05,0.51074,0.30715,0.95355,0.94604,0.97345,0.98396,0.88999,0.46555,0.29373,0.92978,0.000382115,0.000382115,0.000382115
76,718.399,0.504,0.30926,0.95671,0.94304,0.97836,0.98386,0.89165,0.46298,0.30191,0.93387,0.000367967,0.000367967,0.000367967
77,727.739,0.50782,0.30155,0.93984,0.95024,0.97342,0.9834,0.88354,0.45052,0.2865,0.92558,0.00035382,0.00035382,0.00035382
78,737.142,0.4981,0.30481,0.94956,0.95979,0.96769,0.98431,0.89428,0.43391,0.28182,0.91585,0.000339673,0.000339673,0.000339673
79,746.486,0.50684,0.30314,0.93828,0.95856,0.96635,0.98019,0.8903,0.443,0.28395,0.91631,0.000325526,0.000325526,0.000325526
80,755.896,0.50696,0.30236,0.94664,0.96358,0.97091,0.9832,0.89961,0.43831,0.27604,0.91873,0.000311379,0.000311379,0.000311379
