epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.13007,0.73365,2.99197,0.99917,0.01261,0.97084,0.45958,0.37788,0.58262,2.71772,0.84088,0.00021435,0.00021435,0.00021435
2,3.85169,0.74291,1.50406,0.98619,0.97776,0.42077,0.77803,0.64528,0.6103,2.30369,0.85907,0.000438604,0.000438604,0.000438604
3,5.58385,0.70007,1.11251,0.96071,0.95683,0.55994,0.87806,0.72047,0.69904,2.02071,0.8775,0.000658332,0.000658332,0.000658332
4,7.3077,0.75427,1.0346,0.98561,0.8832,0.53303,0.82236,0.6846,0.67719,2.00074,0.90532,0.000873532,0.000873532,0.000873532
5,9.10166,0.74381,1.03835,0.98945,0.7967,0.63524,0.74367,0.62797,0.68232,1.86555,0.95375,0.00108421,0.00108421,0.00108421
6,10.8277,0.76821,1.04801,0.99525,0.85718,0.71259,0.82606,0.66373,0.74743,1.55982,0.97952,0.00129035,0.00129035,0.00129035
7,12.5434,0.72721,0.96159,1.00109,0.80168,0.80164,0.85059,0.70375,0.69525,1.26905,0.94831,0.00134412,0.00134412,0.00134412
8,14.2338,0.69111,0.90661,0.97265,0.82519,0.84677,0.91049,0.76458,0.66999,1.02299,0.94167,0.00132997,0.00132997,0.00132997
9,15.95,0.70116,0.88926,0.98964,0.86162,0.8924,0.90458,0.75233,0.63109,1.00176,0.91676,0.00131582,0.00131582,0.00131582
10,17.659,0.65547,0.85617,0.96774,0.91544,0.93095,0.94996,0.8128,0.59215,0.80262,0.92698,0.00130168,0.00130168,0.00130168
11,19.3774,0.68728,0.89182,0.97779,0.94636,0.934,0.96944,0.83357,0.64893,0.69436,0.952,0.00128753,0.00128753,0.00128753
12,21.0972,0.69823,0.86941,0.99596,0.93757,0.9542,0.97117,0.82688,0.57847,0.66975,0.90065,0.00127338,0.00127338,0.00127338
13,22.8005,0.6539,0.77565,0.96302,0.93181,0.94382,0.96626,0.82796,0.57719,0.67647,0.89365,0.00125923,0.00125923,0.00125923
14,24.5165,0.64958,0.7489,0.95864,0.94296,0.95506,0.97104,0.83755,0.55761,0.63894,0.89365,0.00124509,0.00124509,0.00124509
15,26.2308,0.64044,0.69499,0.94657,0.92993,0.95048,0.96759,0.83697,0.58539,0.58826,0.8996,0.00123094,0.00123094,0.00123094
16,28.0532,0.68828,0.70938,0.96538,0.92087,0.9668,0.96583,0.83906,0.57353,0.56534,0.89154,0.00121679,0.00121679,0.00121679
17,29.7627,0.64149,0.68177,0.96141,0.90951,0.92423,0.95108,0.83166,0.56555,0.63343,0.89238,0.00120265,0.00120265,0.00120265
18,31.4675,0.63333,0.65965,0.94812,0.93678,0.94495,0.96366,0.839,0.55103,0.60012,0.89151,0.0011885,0.0011885,0.0011885
19,33.1738,0.6216,0.66553,0.95339,0.93961,0.93388,0.96665,0.8411,0.56168,0.55161,0.89611,0.00117435,0.00117435,0.00117435
20,34.8827,0.61806,0.63297,0.94897,0.93568,0.94098,0.96348,0.83301,0.55498,0.52987,0.89678,0.00116021,0.00116021,0.00116021
21,36.5826,0.59607,0.59536,0.9374,0.93202,0.927,0.96096,0.83983,0.52848,0.55411,0.89275,0.00114606,0.00114606,0.00114606
