epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,23.3858,0.44708,0.55999,0.89734,0.99524,0.998,0.995,0.94003,0.33868,0.49479,0.83872,0.000962146,0.000962146,0.000962146
35,24.0219,0.44736,0.56171,0.88252,0.99467,0.99713,0.995,0.93524,0.33946,0.47849,0.83972,0.000947999,0.000947999,0.000947999
36,24.6692,0.4564,0.59737,0.91483,0.96358,0.99716,0.995,0.94433,0.34038,0.48864,0.8373,0.000933851,0.000933851,0.000933851
37,25.3231,0.48072,0.60589,0.91453,0.98859,0.96881,0.995,0.94652,0.33701,0.50445,0.83156,0.000919704,0.000919704,0.000919704
38,25.9717,0.47263,0.56536,0.91715,0.99155,0.97738,0.99439,0.94283,0.3547,0.48327,0.83601,0.000905557,0.000905557,0.000905557
39,26.6155,0.47588,0.56201,0.91786,0.99005,0.98179,0.99439,0.93422,0.35449,0.47452,0.83069,0.00089141,0.00089141,0.00089141
40,27.2654,0.45378,0.59265,0.91395,0.99523,0.98413,0.99439,0.9447,0.34893,0.45638,0.82488,0.000877263,0.000877263,0.000877263
41,27.8988,0.46073,0.53208,0.88746,0.99551,0.98413,0.99439,0.94444,0.33734,0.45463,0.82421,0.000863116,0.000863116,0.000863116
42,28.5535,0.44741,0.51904,0.88736,0.99314,0.98222,0.99384,0.94446,0.33246,0.43269,0.82219,0.000848969,0.000848969,0.000848969
43,29.1936,0.46072,0.52478,0.90248,0.99232,0.9825,0.99439,0.95239,0.32206,0.42929,0.82061,0.000834822,0.000834822,0.000834822
44,29.8445,0.46703,0.52543,0.90021,0.98803,0.98559,0.995,0.94693,0.31739,0.40866,0.82261,0.000820675,0.000820675,0.000820675
45,30.4817,0.43692,0.51203,0.86683,0.98919,0.98559,0.995,0.95006,0.3121,0.40436,0.82095,0.000806528,0.000806528,0.000806528
46,31.13,0.49881,0.53767,0.9236,0.99363,0.98459,0.995,0.94846,0.32376,0.39536,0.82368,0.00079238,0.00079238,0.00079238
47,31.772,0.41637,0.48809,0.87757,0.9922,0.98441,0.995,0.94509,0.34025,0.39102,0.82836,0.000778233,0.000778233,0.000778233
48,32.4229,0.40835,0.48637,0.88276,0.98994,0.98457,0.995,0.94282,0.31915,0.37549,0.82409,0.000764086,0.000764086,0.000764086
49,33.0587,0.42474,0.49611,0.87884,0.98585,0.98543,0.995,0.94114,0.31713,0.36941,0.82328,0.000749939,0.000749939,0.000749939
50,33.7041,0.39467,0.46976,0.86993,0.98691,0.98587,0.995,0.94172,0.3422,0.37051,0.83772,0.000735792,0.000735792,0.000735792
51,34.3398,0.37785,0.47575,0.87438,0.98833,0.98645,0.995,0.948,0.34503,0.37078,0.84101,0.000721645,0.000721645,0.000721645
52,34.9871,0.39683,0.47274,0.86211,0.99373,0.9866,0.995,0.95036,0.32329,0.35701,0.83755,0.000707498,0.000707498,0.000707498
53,35.6155,0.41847,0.48435,0.88246,0.99243,0.98641,0.995,0.95143,0.33265,0.36179,0.84197,0.000693351,0.000693351,0.000693351
54,36.2703,0.47335,0.47669,0.91326,0.9922,0.98667,0.995,0.94023,0.3412,0.36316,0.84202,0.000679204,0.000679204,0.000679204
55,36.9122,0.43007,0.45898,0.91088,0.99228,0.98671,0.995,0.94663,0.32571,0.35351,0.837,0.000665057,0.000665057,0.000665057
56,37.5572,0.40343,0.51705,0.89675,0.98801,0.98531,0.995,0.95776,0.29212,0.34917,0.827,0.000650909,0.000650909,0.000650909
57,38.205,0.42774,0.57629,0.86411,0.96842,0.99817,0.995,0.9602,0.29562,0.34655,0.83028,0.000636762,0.000636762,0.000636762
58,38.8651,0.42393,0.5323,0.90884,0.97956,1,0.995,0.94508,0.34471,0.33211,0.84635,0.000622615,0.000622615,0.000622615
59,39.5011,0.40341,0.44563,0.87075,0.98508,1,0.995,0.93848,0.3481,0.3302,0.84708,0.000608468,0.000608468,0.000608468
60,40.1628,0.40295,0.47104,0.90901,0.97634,1,0.995,0.92963,0.35487,0.34038,0.84678,0.000594321,0.000594321,0.000594321
61,40.7931,0.42876,0.46208,0.88875,0.97494,1,0.995,0.93545,0.34821,0.34834,0.84226,0.000580174,0.000580174,0.000580174
62,41.4403,0.41412,0.46276,0.8734,0.96855,1,0.995,0.95119,0.32261,0.33536,0.83364,0.000566027,0.000566027,0.000566027
63,42.0849,0.39005,0.45798,0.88055,0.96586,1,0.995,0.95803,0.3169,0.33384,0.83197,0.00055188,0.00055188,0.00055188
64,42.7308,0.44694,0.46482,0.90847,0.96833,1,0.995,0.96472,0.30846,0.32926,0.83153,0.000537733,0.000537733,0.000537733
65,43.3886,0.40383,0.45912,0.87914,0.96979,1,0.995,0.96269,0.30648,0.33244,0.83074,0.000523586,0.000523586,0.000523586
66,44.0314,0.37368,0.42551,0.85124,0.97351,1,0.995,0.96287,0.30546,0.33174,0.82557,0.000509438,0.000509438,0.000509438
67,44.6829,0.41396,0.45732,0.89902,0.97943,0.9981,0.995,0.95762,0.30175,0.32188,0.82394,0.000495291,0.000495291,0.000495291
68,45.3399,0.36303,0.41122,0.86261,0.97939,0.99793,0.995,0.95614,0.30707,0.29826,0.8273,0.000481144,0.000481144,0.000481144
69,45.9769,0.36433,0.42326,0.8596,0.97815,0.99519,0.995,0.96315,0.30268,0.29781,0.82647,0.000466997,0.000466997,0.000466997
70,46.6241,0.37482,0.41861,0.89299,0.97453,1,0.995,0.9584,0.29133,0.29901,0.82377,0.00045285,0.00045285,0.00045285
71,47.2598,0.42291,0.46691,0.92973,0.97383,1,0.995,0.96078,0.28948,0.29828,0.82214,0.000438703,0.000438703,0.000438703
72,47.9051,0.38736,0.4064,0.88391,0.97351,1,0.99375,0.96201,0.30331,0.30494,0.82271,0.000424556,0.000424556,0.000424556
73,48.5504,0.36418,0.41191,0.86659,0.97386,1,0.99375,0.95749,0.30677,0.29699,0.82484,0.000410409,0.000410409,0.000410409
74,49.1966,0.38179,0.41425,0.85386,0.97442,1,0.99375,0.95845,0.3028,0.2911,0.82586,0.000396262,0.000396262,0.000396262
75,49.8312,0.36312,0.39733,0.86748,0.9749,1,0.99375,0.95375,0.30122,0.28826,0.82498,0.000382115,0.000382115,0.000382115
76,50.4735,0.37334,0.5044,0.91598,0.97752,1,0.995,0.96061,0.2975,0.285,0.82579,0.000367967,0.000367967,0.000367967
77,51.1093,0.32821,0.41632,0.86427,0.97879,1,0.995,0.95753,0.29837,0.28244,0.82584,0.00035382,0.00035382,0.00035382
78,51.7612,0.4011,0.46686,0.92655,0.97575,1,0.995,0.95081,0.30142,0.27711,0.82982,0.000339673,0.000339673,0.000339673
79,52.3962,0.36712,0.398,0.86446,0.97586,1,0.995,0.94811,0.29706,0.28129,0.82882,0.000325526,0.000325526,0.000325526
80,53.0473,0.35285,0.39793,0.87398,0.9824,1,0.995,0.95838,0.29177,0.27935,0.82805,0.000311379,0.000311379,0.000311379
81,53.6859,0.38155,0.44504,0.89801,0.98561,1,0.995,0.96725,0.29191,0.27565,0.82956,0.000297232,0.000297232,0.000297232
82,54.3439,0.35686,0.37826,0.88999,0.98767,0.99611,0.995,0.95957,0.29548,0.27122,0.83261,0.000283085,0.000283085,0.000283085
83,54.9909,0.34871,0.38646,0.8863,0.98866,0.99242,0.995,0.9535,0.29519,0.27152,0.83337,0.000268938,0.000268938,0.000268938
84,55.6401,0.35914,0.41615,0.87166,0.98802,0.98686,0.995,0.95728,0.29839,0.26819,0.83456,0.000254791,0.000254791,0.000254791
85,56.2819,0.3331,0.3568,0.85334,0.97302,0.9997,0.995,0.95039,0.29887,0.26754,0.8349,0.000240644,0.000240644,0.000240644
86,56.9359,0.38052,0.37818,0.87101,0.97069,0.99856,0.995,0.96005,0.29241,0.26155,0.83157,0.000226497,0.000226497,0.000226497
87,57.5703,0.41142,0.41396,0.93139,0.97016,0.99829,0.995,0.96613,0.28776,0.26371,0.83037,0.000212349,0.000212349,0.000212349
88,58.2343,0.32408,0.37408,0.86695,0.98346,0.9848,0.995,0.96785,0.28808,0.25861,0.82909,0.000198202,0.000198202,0.000198202
89,58.8864,0.31776,0.37056,0.84794,0.98601,0.98407,0.995,0.96584,0.28783,0.25799,0.82866,0.000184055,0.000184055,0.000184055
90,59.5397,0.33683,0.36037,0.86463,0.98823,0.98417,0.995,0.96605,0.28799,0.25063,0.82869,0.000169908,0.000169908,0.000169908
91,61.5125,0.24539,0.39608,0.81286,0.98801,0.98674,0.995,0.95774,0.28471,0.25315,0.8283,0.000155761,0.000155761,0.000155761
92,62.2803,0.23267,0.38855,0.79788,0.98889,0.98919,0.995,0.96003,0.28062,0.26152,0.82898,0.000141614,0.000141614,0.000141614
93,63.0253,0.23587,0.40047,0.78743,0.98863,0.99019,0.995,0.95128,0.28372,0.27023,0.82941,0.000127467,0.000127467,0.000127467
94,63.7214,0.24859,0.37406,0.7898,0.97842,0.9944,0.995,0.95733,0.2844,0.26901,0.83185,0.00011332,0.00011332,0.00011332
95,64.36,0.24463,0.3813,0.79187,0.97797,0.9957,0.995,0.95474,0.28363,0.26779,0.83257,9.91726e-05,9.91726e-05,9.91726e-05
96,65.0127,0.25425,0.37508,0.78724,0.97624,1,0.995,0.95333,0.28593,0.26078,0.83412,8.50255e-05,8.50255e-05,8.50255e-05
97,65.6782,0.23045,0.37636,0.7949,0.97622,1,0.995,0.95687,0.28791,0.26116,0.8344,7.08784e-05,7.08784e-05,7.08784e-05
98,66.3425,0.24573,0.38254,0.80242,0.97617,1,0.995,0.95928,0.28659,0.25749,0.83396,5.67313e-05,5.67313e-05,5.67313e-05
99,66.9785,0.24156,0.34734,0.81957,0.97618,1,0.995,0.95903,0.28721,0.25541,0.83332,4.25842e-05,4.25842e-05,4.25842e-05
100,67.6325,0.22305,0.34797,0.78084,0.97617,1,0.995,0.95555,0.28554,0.25326,0.83286,2.84371e-05,2.84371e-05,2.84371e-05
