epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75568,0.53559,3.30121,0.98735,0.0064,0.71546,0.20364,0.18709,0.32896,3.13944,0.86119,7.145e-05,7.145e-05,7.145e-05
2,2.43187,0.60838,2.93019,1.00564,0.01032,0.96658,0.46568,0.4361,0.33101,2.81879,0.79388,0.000155634,0.000155634,0.000155634
3,3.13053,0.53446,1.8238,0.9107,1,0.12445,0.51966,0.47433,0.37353,2.53116,0.78995,0.00023812,0.00023812,0.00023812
4,3.80507,0.52587,1.35715,0.90704,0.74697,0.28699,0.62799,0.5897,0.37427,2.25807,0.77979,0.000318909,0.000318909,0.000318909
5,4.48667,0.53936,1.15758,0.93357,0.82119,0.42253,0.76974,0.71923,0.41117,2.09039,0.78825,0.000397999,0.000397999,0.000397999
6,5.16052,0.56719,1.00025,0.94418,0.97242,0.53676,0.93635,0.86478,0.42976,2.0314,0.79755,0.000475393,0.000475393,0.000475393
7,5.83347,0.50562,0.90498,0.895,0.99857,0.74174,0.91872,0.83938,0.44627,1.93206,0.8073,0.000551088,0.000551088,0.000551088
8,6.49318,0.5404,0.86168,0.91156,0.98068,0.87138,0.93819,0.84623,0.47378,1.5942,0.80969,0.000625086,0.000625086,0.000625086
9,7.16904,0.56076,0.80151,0.92108,1,0.84861,0.96502,0.83881,0.5047,1.53311,0.8234,0.000697386,0.000697386,0.000697386
10,7.81402,0.54759,0.93309,0.92796,1,0.70604,0.95662,0.86047,0.44539,1.78879,0.81126,0.000767989,0.000767989,0.000767989
11,8.46702,0.56714,0.95706,0.94841,1,0.93227,0.995,0.90136,0.46568,1.356,0.83007,0.000836894,0.000836894,0.000836894
12,9.11586,0.50088,0.77605,0.89213,0.9923,0.99612,0.995,0.91521,0.42126,0.87426,0.83359,0.000904101,0.000904101,0.000904101
13,9.77126,0.55759,0.78846,0.93196,0.95585,0.93333,0.98501,0.87659,0.48359,1.10564,0.86192,0.000969611,0.000969611,0.000969611
14,10.4333,0.55779,0.8684,0.92722,0.88603,0.94074,0.96832,0.87385,0.45672,1.13912,0.85538,0.00103342,0.00103342,0.00103342
15,11.0727,0.56745,0.8498,0.94363,0.92311,0.98464,0.98344,0.89296,0.45483,1.07447,0.84505,0.00109554,0.00109554,0.00109554
16,11.7211,0.54401,0.80713,0.923,0.88387,0.99689,0.97,0.89553,0.42469,0.93229,0.82599,0.00115595,0.00115595,0.00115595
17,12.3602,0.57503,0.80691,0.9562,0.92885,0.95556,0.98038,0.90315,0.39713,0.90298,0.82262,0.00120265,0.00120265,0.00120265
18,13.0248,0.50187,0.82868,0.90567,0.95767,0.99376,0.995,0.93268,0.3826,0.71795,0.82243,0.0011885,0.0011885,0.0011885
19,13.6821,0.51001,0.71086,0.92326,0.94923,0.97955,0.99384,0.91188,0.43133,0.7134,0.83586,0.00117435,0.00117435,0.00117435
20,14.3316,0.52682,0.73215,0.90833,0.96321,0.99701,0.995,0.93266,0.39007,0.68979,0.82349,0.00116021,0.00116021,0.00116021
21,14.9674,0.47442,0.68806,0.90676,0.97458,1,0.995,0.91085,0.40367,0.67985,0.82832,0.00114606,0.00114606,0.00114606
22,15.6161,0.48068,0.6584,0.89226,0.99197,1,0.995,0.91168,0.40922,0.61024,0.83401,0.00113191,0.00113191,0.00113191
23,16.2587,0.4867,0.66467,0.89608,0.98957,0.99805,0.995,0.92227,0.38239,0.61074,0.82431,0.00111776,0.00111776,0.00111776
24,16.9028,0.45576,0.64286,0.87317,0.98511,0.99524,0.995,0.92749,0.37714,0.61787,0.82207,0.00110362,0.00110362,0.00110362
25,17.5462,0.4534,0.65213,0.87657,0.97994,0.99796,0.995,0.92411,0.38919,0.59805,0.82472,0.00108947,0.00108947,0.00108947
26,18.1989,0.50416,0.65656,0.91139,0.97227,1,0.995,0.93222,0.35041,0.51433,0.82572,0.00107532,0.00107532,0.00107532
27,18.8567,0.48296,0.62733,0.87652,0.97451,1,0.995,0.95328,0.33892,0.54517,0.82687,0.00106118,0.00106118,0.00106118
28,19.5175,0.49721,0.65151,0.92437,0.96549,1,0.995,0.94048,0.35707,0.61923,0.83689,0.00104703,0.00104703,0.00104703
29,20.1576,0.47913,0.68753,0.92476,0.96242,1,0.995,0.93802,0.35492,0.57295,0.83951,0.00103288,0.00103288,0.00103288
30,20.8104,0.56032,0.67156,1.00343,0.97462,1,0.995,0.94419,0.3495,0.52964,0.84327,0.00101873,0.00101873,0.00101873
31,21.4385,0.49357,0.63356,0.93052,0.97617,1,0.995,0.9323,0.36931,0.52257,0.84589,0.00100459,0.00100459,0.00100459
32,22.0875,0.41719,0.56006,0.87297,0.98874,0.99117,0.995,0.93757,0.35964,0.52146,0.83402,0.00099044,0.00099044,0.00099044
33,22.7189,0.49794,0.63275,0.91206,0.99071,0.99653,0.995,0.95631,0.35412,0.52152,0.83041,0.000976293,0.000976293,0.000976293
